filename,path,label,mean_intensity,std_dev,variance,skewness,kurtosis,range_intensity,min_intensity,max_intensity,entropy_shannon,entropy_local,edge_density,edge_magnitude_mean,edge_magnitude_std,edge_orientation_std,haralick_contrast,haralick_dissimilarity,haralick_homogeneity,haralick_energy,haralick_correlation,haralick_asm,lbp_uniform_mean,lbp_variance,lbp_entropy,fractal_dim_higuchi,fractal_dim_katz,fractal_dim_dfa,fractal_dim_boxcount,lacunarity,wavelet_energy_approx,wavelet_energy_horizontal,wavelet_energy_vertical,wavelet_energy_diagonal,wavelet_entropy,tamura_coarseness,tamura_contrast,tamura_directionality,area_coverage,circularity,solidity,perimeter_complexity,fractal_equation,fractal_hurst_exponent,fractal_amplitude_scaling,fractal_goodness_of_fit,fractal_fitting_success,fractal_overlay_path
fleece_20250824_193523.jpg,capture/images/fleece/fleece_20250824_193523.jpg,fleece,43.00061,25.746078,662.860534,1.524977,3.210305,230,3,233,6.431117,6.431117,0.333038,0.112558,0.072668,1.8474,1257.185868,25.594977,0.051319,0.015406,0.209569,0.000238,0.088374,10.427231,3.188775,1.951703,5.907097,0.800659,1.953528,1.032786,0.873387,0.035024,0.063768,0.027821,15.269304,304.6465,0.598738,1.847131,0.183533,0.028844,0.667833,20.872514,"fBm(H=0.900, σ=1.000)",0.9,1.0,0.982689,1.0,fractal_overlays/fleece_20250824_193523_fractal_overlay_20250824_193828.png
puffed_polyester_20250824_194121.jpg,capture/images/puffed_polyester/puffed_polyester_20250824_194121.jpg,puffed_polyester,27.142227,15.37894,236.5118,3.980561,23.880078,220,2,222,5.234474,5.234474,0.195496,0.065872,0.05952,1.905157,555.024411,13.486687,0.112883,0.039639,0.110941,0.001583,0.09474,7.976018,3.267353,2.008789,3.85042,0.781524,1.932465,1.014736,0.877564,0.031593,0.065772,0.025071,15.097237,96.71258,0.566606,1.907072,0.041405,0.004996,0.304119,50.15152,"fBm(H=0.900, σ=1.000)",0.9,1.000001,0.971623,1.0,fractal_overlays/puffed_polyester_20250824_194121_fractal_overlay_20250824_194217.png
puffed_polyester_20250824_194126.jpg,capture/images/puffed_polyester/puffed_polyester_20250824_194126.jpg,puffed_polyester,27.228836,15.807213,249.867998,3.914677,23.105392,228,1,229,5.281868,5.281868,0.201599,0.067643,0.060619,1.904575,548.438232,13.440419,0.113817,0.038248,0.114371,0.001474,0.094696,8.009396,3.267501,2.009265,3.827093,0.778522,1.93226,1.016774,0.872942,0.032442,0.067933,0.026683,15.108513,102.75451,0.580532,1.906159,0.083199,0.004046,0.364472,55.730323,"fBm(H=0.900, σ=1.000)",0.9,0.999992,0.969012,1.0,fractal_overlays/puffed_polyester_20250824_194126_fractal_overlay_20250824_194254.png
puffed_polyester_20250824_194131.jpg,capture/images/puffed_polyester/puffed_polyester_20250824_194131.jpg,puffed_polyester,26.764542,15.33425,235.139216,3.943036,23.997773,213,3,216,5.266978,5.266979,0.19548,0.066127,0.058506,1.904812,579.541522,13.936936,0.107716,0.038123,0.11549,0.001465,0.094604,8.007758,3.267288,2.010103,3.914406,0.773958,1.943907,1.016594,0.876284,0.031878,0.066423,0.025415,15.105176,96.93943,0.572932,1.905158,0.13385,0.012847,0.514065,31.275263,"fBm(H=0.900, σ=1.000)",0.9,0.999997,0.955658,1.0,fractal_overlays/puffed_polyester_20250824_194131_fractal_overlay_20250824_194330.png
puffed_polyester_20250824_194136.jpg,capture/images/puffed_polyester/puffed_polyester_20250824_194136.jpg,puffed_polyester,27.258514,15.504987,240.404636,4.01684,24.355221,228,3,231,5.234196,5.234196,0.193024,0.065786,0.05998,1.905526,518.100379,12.959725,0.117404,0.039711,0.115456,0.001589,0.094627,8.000819,3.26715,2.008276,3.783105,0.782417,1.932654,1.016137,0.876895,0.031313,0.065811,0.02598,15.09623,98.969505,0.568813,1.905393,0.100052,0.011626,0.520211,32.87613,"fBm(H=0.730, σ=1.000)",0.730324,0.999968,0.978831,1.0,fractal_overlays/puffed_polyester_20250824_194136_fractal_overlay_20250824_194407.png
puffed_polyester_20250824_194141.jpg,capture/images/puffed_polyester/puffed_polyester_20250824_194141.jpg,puffed_polyester,26.683746,14.830059,219.930654,4.066714,25.501901,215,3,218,5.20027,5.20027,0.176834,0.063341,0.057213,1.901653,529.107366,13.152055,0.11401,0.040026,0.117608,0.001614,0.094911,7.929661,3.268796,2.00814,3.82349,0.778643,1.942878,1.015838,0.882113,0.03062,0.063263,0.024004,15.082477,91.0116,0.555771,1.90224,0.153419,0.013785,0.59517,30.193179,"fBm(H=0.900, σ=1.000)",0.9,0.999988,0.971603,1.0,fractal_overlays/puffed_polyester_20250824_194141_fractal_overlay_20250824_194444.png
sweater_20250824_195212.jpg,capture/images/sweater/sweater_20250824_195212.jpg,sweater,66.38765,26.835758,720.15791,0.65338,0.419883,189,6,195,6.72902,6.729021,0.292084,0.110467,0.074331,2.002146,1097.715592,24.468214,0.051752,0.013372,0.554449,0.000182,0.098963,6.707345,3.191029,1.865047,5.016595,0.985572,1.91754,1.030893,0.981716,0.001688,0.015201,0.001394,14.663992,467.71463,0.404228,2.003368,0.277496,0.011861,0.631338,32.54902,"fBm(H=0.900, σ=1.000)",0.9,0.999992,0.988472,1.0,fractal_overlays/sweater_20250824_195212_fractal_overlay_20250824_195309.png
sweater_20250824_195217.jpg,capture/images/sweater/sweater_20250824_195217.jpg,sweater,65.621368,27.318388,746.294321,0.671424,0.426198,186,5,191,6.750664,6.750664,0.292099,0.111914,0.075104,1.991442,1211.294649,25.746052,0.048766,0.01307,0.543574,0.000174,0.097677,7.161392,3.216785,1.872235,5.124606,0.968253,1.920083,1.034057,0.978342,0.002209,0.017488,0.001961,14.71014,482.14032,0.416303,1.993263,0.251038,0.013857,0.639322,30.114557,"fBm(H=0.900, σ=1.000)",0.9,1.000001,0.981358,1.0,fractal_overlays/sweater_20250824_195217_fractal_overlay_20250824_195346.png
sweater_20250824_195222.jpg,capture/images/sweater/sweater_20250824_195222.jpg,sweater,64.208282,27.534681,758.158675,0.686112,0.488164,199,4,203,6.759564,6.759564,0.296783,0.111468,0.074652,1.99151,1093.667056,24.555201,0.050204,0.012883,0.542969,0.000169,0.09662,7.538755,3.239606,1.878668,4.800866,0.955749,1.920449,1.038718,0.975607,0.002754,0.019078,0.002561,14.750338,491.8662,0.428834,1.994438,0.320175,0.027209,0.733774,21.490731,"fBm(H=0.900, σ=1.000)",0.9,0.999996,0.987742,1.0,fractal_overlays/sweater_20250824_195222_fractal_overlay_20250824_195423.png
sweater_20250824_195227.jpg,capture/images/sweater/sweater_20250824_195227.jpg,sweater,64.308273,27.863504,776.374831,0.727909,0.531528,192,5,197,6.767322,6.767322,0.289948,0.108502,0.073726,1.989468,1070.410946,24.102968,0.052568,0.013222,0.588357,0.000178,0.097855,7.081842,3.212272,1.865693,4.923345,0.978836,1.911694,1.047368,0.979533,0.002053,0.016611,0.001803,14.688433,526.93774,0.43328,1.990689,0.268394,0.027745,0.710615,21.282117,"fBm(H=0.900, σ=1.000)",0.9,1.0,0.982098,1.0,fractal_overlays/sweater_20250824_195227_fractal_overlay_20250824_195501.png
